Data Cleaning - Advanced Functions,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Table 2,,,,,,,,,
PASTED DATA #1,,,Table 1,,PASTED DATA #2,,,,,,,,,
,,,,,,,,,,,,,,
Person,City,Ticket Price,Event Detail,,The Weekend Forecast,,,,,,,,,
 Post Lemon ,Chicago,$500,TBA on 14 Aug (2026),,Big Apple,,,,,,,,,
Jonas Blizzards,Las Vegas,£600,10PM Start,,$200,,,,,,,,,
Shawn Mender,Sin city,$200,Event begins at 8PM on 11 Nov (2026),,4 Hour show starting at 5PM,,,,,,,,,
Ellie Goldfish ,Bombay,$400,6PM Start on 27-Sept-2025,,•,,,,,,,,,
Khalid Kale ,Sydney,$600,Event begins at 10PM,,Ed Shewalk,,,,,,,,,
Lizzoard,New York,£300,4 Hour show starting at 9PM,,Vegas,,,,,,,,,
Jonas Blizzards ,Big Apple,£600,TBA on 1-Apr-2026,,$600,,,,,,,,,
Katy Ferry,New York,$500,4 Hour show starting at 9PM on 7 Aug (2025),,4 Hour show starting at 8PM on 28 Sept (2025),,,,,,,,,
Bruno Mars Bar,Sydney,$500,"3 Hour performance, begins at 6PM",,•,,,,,,,,,
Harry Styles of Hair,Mumbai,,TBA on 7-Nov-2026,,Bruno Mars Bar ,,,,,,,,,
Ariana Venti,London,100,TBA,,London,,,,,,,,,
Jonas Blizzards,Bombay,£100,Event begins at 7PM on 28-Dec-2026,,400,,,,,,,,,
Justin Woodenpond ,Bombay,£600,Show starts at 9PM on 9-Jun-2026,,Show starts at 7PM on 28 Jul (2025),,,,,,,,,
The Weekend Forecast,Bombay,$600,Show starts at 5PM on 23 Oct (2025),,•,,,,,,,,,
Snoop Corgi,Bombay,$200,TBA on 14-Jul-2026,,Jonas Blizzards,,,,,,,,,
Taylor Swiftly,Las Vegas,£200,Show starts at 6PM,,Las Vegas,,,,,,,,,
Cardi Bee,Sydney,$300,6PM Start on 5 Dec (2025),,$100,,,,,,,,,
 Lizzoard ,Sydney,$100,4 Hour show starting at 10PM,,7PM Start,,,,,,,,,
Sam Smithy,Sin city,$100,4 Hour show starting at 6PM,,•,,,,,,,,,
Lizzoard,London,300,7PM Start on 23 Jan (2026),,Snoop Corgi ,,,,,,,,,
Katy Ferry,,$400,4 Hour show starting at 5PM,,Sydney,,,,,,,,,
 Jonas Blizzards ,Las Vegas,$400,TBA on 8 Jun (2026),,£600,,,,,,,,,
Snoop Corgi,Las Vegas,$600,Show starts at 7PM,,"3 Hour performance, begins at 5PM on 19 Oct (2026)",,,,,,,,,
Lizzoard,Chicago,$400,TBA on 15 Nov (2026),,•,,,,,,,,,
Justin Woodenpond,Mumbai,$400,9PM Start on 26-Apr-2026,, Imagine Wagons ,,,,,,,,,
Katy Ferry ,Bombay,£600,Event begins at 8PM on 15-Dec-2026,,Bombay,,,,,,,,,
Drake Mallard,Bombay,$500,"3 Hour performance, begins at 9PM on 5 Nov (2026)",,$500,,,,,,,,,
Justin Woodenpond,Las Vegas,200,7PM Start on 16-Oct-2025,,4 Hour show starting at 5PM on 31 Jul (2025),,,,,,,,,
Alicia Keys to the City ,Sydney,$300,4 Hour show starting at 8PM on 21-May-2026,,•,,,,,,,,,
Khalid Kale,London,$100,4 Hour show starting at 7PM on 13-Nov-2025,,Lizzoard,,,,,,,,,
Snoop Corgi,Bombay,$300,Event begins at 9PM,,Singapore,,,,,,,,,
Ed Shewalk ,Sydney,$300,"3 Hour performance, begins at 9PM on 23-Jul-2026",,$300,,,,,,,,,
Shawn Mender,Las Vegas,$500,10PM Start on 13-Aug-2026,,10PM Start,,,,,,,,,
Ariana Venti,Mumbai,$200,9PM Start,,•,,,,,,,,,
Bruno Mars Bar,Singapore,$400,6PM Start on 19 Nov (2026),,Camila Cobello,,,,,,,,,
Jonas Blizzards,Chicago,£300,Show starts at 5PM on 6 May (2026),,New York,,,,,,,,,
